Chunk Size (tokens),Chunk Overlap Size (token overlap),Embedding Models,Vector Database,Memory Usage 1 (MB),Memory Usage 2 (MB),Memory Usage 3 (MB),Retrieval Quality (Query 1) (sec),Retrieval Quality (Query 2) (sec),Retrieval Quality (Query 3) (sec),Additional Notes 1,Additional Notes 2,Additional Notes 3
200,0,sentence-transformers/all-MiniLM-L6-v2,Redis,1063,1063,1062,9.921,4.0736,9.6022,"good, comprehensive response","Really good, gave a short explanation of code","good, well structured response"
200,0,sentence-transformers/all-MiniLM-L6-v2,Chroma,1063,1065,1066,9.6402,5.9914,8.3294,"Very good, comprehensive","Very good, code and explanation","Good, descriptive"
200,0,sentence-transformers/all-MiniLM-L6-v2,Qdrant,503.58,503.58,503.58,17.85,12.33,26.85,"pretty good, lacks comprehensiveness","good, but no explanation","really good, thorough and comprehensive"
200,50,sentence-transformers/all-MiniLM-L6-v2,Redis,1061,1062,1062,9.0276,5.0609,9.7771,Really good,"Really good, structured code and explanations","Really good, descriptive"
200,50,sentence-transformers/all-MiniLM-L6-v2,Chroma,1064,1064,1065,10.415,5.2175,7.0485,Really good,"Really good, checking for errors too",Really good
200,50,sentence-transformers/all-MiniLM-L6-v2,Qdrant,791.75,791.75,791.75,13.57,10,24.45,"pretty good, comprehensive (same response as chunk=200, overlap=0)","good, no explanation","really good, comprehensive"
200,100,sentence-transformers/all-MiniLM-L6-v2,Redis,1063,1063,1063,4.9317,4.0048,8.0685,"Really good, more straightforward response","Really good, syntactically correct code","really good, comprehensive"
200,100,sentence-transformers/all-MiniLM-L6-v2,Chroma,1065,1066,1066,4.6668,4.3602,6.4033,"Really good, straightforward","Really good, added code comments",Really good
200,100,sentence-transformers/all-MiniLM-L6-v2,Qdrant,581.3,581.3,581.3,15.98,10.1,24.69,"Good, not descriptive","good, no explanation","pretty good, comprehensive"
500,0,sentence-transformers/all-MiniLM-L6-v2,Redis,1063,1063,1064,6.747,4.9028,10.9015,"Good, simple response","Good, different response than previous combos",Really good
500,0,sentence-transformers/all-MiniLM-L6-v2,Chroma,1065,1066,1062,6.7068,3.9034,8.5094,"Really good, descriptive","Good, didn't use find()","Okay, didn't separate by function"
500,0,sentence-transformers/all-MiniLM-L6-v2,Qdrant,574.36,574.36,574.36,18.15,13.02,29.13,"Good, not descriptive","good, no explanation","pretty good, comprehensive"
500,50,sentence-transformers/all-MiniLM-L6-v2,Redis,1064,1064,1065,5.3179,4.6917,11.1097,"Really good, simple response","Good, no explanation","Really good, separated the functions well"
500,50,sentence-transformers/all-MiniLM-L6-v2,Chroma,1064,1065,1065,4.4792,4.0309,6.1953,"Good, simple response","Good, simple respsonse","Okay, didn't separate by function"
500,50,sentence-transformers/all-MiniLM-L6-v2,Qdrant,738.84,738.84,738.84,10.62,10.65,30.41,"good, not descriptive","good, no explanation","really good, comprehensive"
500,100,sentence-transformers/all-MiniLM-L6-v2,Redis,1065,1065,1065,6.7982,4.4456,9.2185,"Really good, comprehensive","Really good, explanation",Really good
500,100,sentence-transformers/all-MiniLM-L6-v2,Chroma,1062,1064,1064,10.9196,3.9016,5.5662,Really good,"Good, could be better explanation","Okay, didn't separate by function"
500,100,sentence-transformers/all-MiniLM-L6-v2,Qdrant,727.98,727.98,727.98,12.61,11.45,29.75,good but not descriptive,"good, no explanation","good, same response as last chunk-overlap combo"
1000,0,sentence-transformers/all-MiniLM-L6-v2,Redis,1065,1066,1065,6.1275,3.3135,7.9515,Really good,"Good, little different than other responses ",Really good
1000,0,sentence-transformers/all-MiniLM-L6-v2,Chroma,1064,1064,1065,5.0549,5.2113,7.7636,"Really good, descriptive","Really good, descriptive",Really good
1000,0,sentence-transformers/all-MiniLM-L6-v2,Qdrant,754.64,754.64,754.64,13.55,9.89,27.34,good but not descriptive,good no explanation,"good, comprehensive"
1000,50,sentence-transformers/all-MiniLM-L6-v2,Redis,1065,1065,1066,6.4301,4.7661,7.6119,Really good,"Good, simple","Good, a little simple"
1000,50,sentence-transformers/all-MiniLM-L6-v2,Chroma,1064,1065,1065,6.4511,4.9879,8.06,Really good,"Really good, well explained","Okay, some irrelevant info"
1000,50,sentence-transformers/all-MiniLM-L6-v2,Qdrant,707.92,707.92,707.92,11.98,9.92,27.42,good but not descriptive,good but no explanation,"good, wordy single paragraph"
1000,100,sentence-transformers/all-MiniLM-L6-v2,Redis,1066,1066,1066,4.6316,4.7672,7.0051,"Good, simple","Really good, simple explanation","Really good, comprehensive"
1000,100,sentence-transformers/all-MiniLM-L6-v2,Chroma,1064,1064,1065,4.2571,2.8092,7.5832,"Good, simple","Good, but simple","Really good, comprehensive"
1000,100,sentence-transformers/all-MiniLM-L6-v2,Qdrant,736.83,736.83,736.83,18.13,8.96,21.83,"really good, very comprehesive!!",good but no explanation,"good, comprehensive"
200,0,sentence-transformers/all-mpnet-base-v2,Redis,1071,1079,1080,9.7578,2.8772,10.9693,"Not good, very simple and short response","Not good, very simple","Okay, separated by structure not functions"
200,0,sentence-transformers/all-mpnet-base-v2,Chroma,1059,1061,1063,5.3855,4.1429,8.5826,"Good, simple","Very good, descriptive","Good, descriptive, a little clunky"
200,0,sentence-transformers/all-mpnet-base-v2,Qdrant,1245.34,1245.34,1245.34,18.97,10.53,22.15,"good, but unnecessary details included ",good but no explanation,"good, comprehensive"
200,50,sentence-transformers/all-mpnet-base-v2,Redis,1080,1080,1080,6.7344,2.7898,7.5667,"Not good, very clunky paragraph","Not very good, just code response","Okay, separated by structure + simple"
200,50,sentence-transformers/all-mpnet-base-v2,Chroma,1064,1065,1065,5.7402,4.8265,8.7279,"Really good, descriptive","Good, descriptive",Really good
200,50,sentence-transformers/all-mpnet-base-v2,Qdrant,1113.55,1113.55,1113.55,22.33,9.67,37.34,"good, comprehensive",good but no explanation,"very good, comprehensive"
200,100,sentence-transformers/all-mpnet-base-v2,Redis,1080,1081,1080,6.1954,2.7873,9.6447,"Very bad, missed the I component","Not good, simple, just code","Good, descriptive"
200,100,sentence-transformers/all-mpnet-base-v2,Chroma,1064,1065,1065,4.5214,2.7698,8.5584,Really good ,"Okay, not descriptive","Good, descriptive but clunky"
200,100,sentence-transformers/all-mpnet-base-v2,Qdrant,1106.84,1106.84,1106.84,27.44,10.79,30.82,"really good, comprehensive",good but no explanation,"very good, comprehensive"
500,0,sentence-transformers/all-mpnet-base-v2,Redis,1080,1080,1083,4.3161,2.7807,12.6138,"Very bad, missing a lot of information","Not good, simple just code","Okay, descriptive and highlights differences"
500,0,sentence-transformers/all-mpnet-base-v2,Chroma,1065,1065,1066,5.8597,4.716,7.6369,"Really good, descriptive","Really good, comprehensive",Really good
500,0,sentence-transformers/all-mpnet-base-v2,Qdrant,979.97,979.97,979.97,21.39,9.46,49.68,"pretty good, comprehensive",good but no explanation,"very good, comprehensive"
500,50,sentence-transformers/all-mpnet-base-v2,Redis,1082,1083,1083,6.5077,2.8302,12.8634,"Okay, clunky response","Not good, simple just code","Good, comprehensive"
